Component_ID,Lot_ID,Value_0h,Value_24h,Value_96h,Value_168h,Limit,Drift_0_24_per_h,Drift_24_96_per_h,Drift_96_168_per_h,Failure_Flag_168h,Failure_Time_h,RUL_at_168h,Risk
C-100000,L-118,21.237,21.104,24.39,30.34,50.0,-0.00554,0.04563,0.08264,0,360,192,Normal
C-100001,L-104,22.842,22.653,25.426,30.796,50.0,-0.00786,0.03852,0.07458,0,432,264,Normal
C-100002,L-101,20.501,20.689,24.55,29.066,50.0,0.00784,0.05362,0.06272,0,384,216,Normal
C-100003,L-113,18.459,18.985,21.974,26.057,50.0,0.0219,0.04151,0.05671,0,456,288,Normal
C-100004,L-108,17.762,18.207,21.389,26.362,50.0,0.01852,0.0442,0.06907,0,432,264,Normal
C-100005,L-110,18.603,19.187,24.134,31.387,50.0,0.02435,0.06871,0.10074,0,312,144,Normal
C-100006,L-102,20.919,21.288,23.841,26.949,50.0,0.01536,0.03546,0.04316,0,504,336,Normal
C-100007,L-108,18.407,19.235,24.289,31.974,50.0,0.03453,0.07019,0.10674,0,312,144,Normal
C-100008,L-113,21.401,21.518,23.917,27.276,50.0,0.00487,0.03333,0.04664,0,456,288,Normal
C-100009,L-108,18.023,18.495,21.981,26.824,50.0,0.01967,0.04841,0.06726,0,360,192,Normal
C-100010,L-117,20.346,20.935,25.071,31.582,50.0,0.02455,0.05743,0.09043,0,312,144,Normal
C-100011,L-116,17.929,18.892,21.161,25.471,50.0,0.04013,0.03152,0.05986,0,456,288,Normal
C-100012,L-115,16.145,16.264,18.687,23.225,50.0,0.00493,0.03365,0.06304,0,408,240,Normal
C-100013,L-119,19.997,19.707,22.272,26.158,50.0,-0.0121,0.03563,0.05397,0,480,312,Normal
C-100014,L-115,21.796,22.85,25.924,30.768,50.0,0.04393,0.04269,0.06728,0,432,264,Normal
C-100015,L-104,18.367,19.54,26.06,36.116,50.0,0.04886,0.09055,0.13967,0,264,96,Warning
C-100016,L-118,20.766,21.506,23.733,27.663,50.0,0.03084,0.03092,0.05459,0,456,288,Normal
C-100017,L-114,21.207,20.986,25.204,31.622,50.0,-0.00919,0.05858,0.08914,0,384,216,Normal
C-100018,L-102,21.76,22.019,26.248,33.108,50.0,0.01079,0.05873,0.09527,0,336,168,Normal
